codigoOrgao,nomeOrgao,nomeMnemonicoOrgao,cnpjCpfOrgao,codigoOrgaoVinculado,cnpjCpfOrgaoVinculado,nomeOrgaoVinculado,codigoOrgaoSuperior,cnpjCpfOrgaoSuperior,nomeOrgaoSuperior,codigoTipoAdministracao,nomeTipoAdministracao,poder,esfera,usoSisg,statusOrgao,dataHoraMovimento
96845,PREFEITURA MUNICIPAL DE VERANOPOLIS - RS,PM VERANOPOLIS - RS,98671597000109,96320.0,87934675000196,ERS-ESTADO DO RIO GRANDE DO SUL,96000.0,0,REGIAO SUL,12,ADMINISTRACAO DIRETA MUNICIPAL,E,M,True,True,2024-01-14T13:57:00
96829,SETREM - SOC. EDUC. TRÊS DE MAIO,SOC E.TRES DE MAIO,98039852000600,96828.0,87612800000141,PREFEITURA MUNICIPAL DE TRÊS DE MAIO - RS,96320.0,87934675000196,ERS-ESTADO DO RIO GRANDE DO SUL,15,EMPRESA PRIVADA,E,M,True,True,2024-04-01T15:42:00
96817,PREFEITURA MUNICIPAL DE TAQUARA - RS,PM DE TAQUARA - RS,97761407000173,96320.0,87934675000196,ERS-ESTADO DO RIO GRANDE DO SUL,96000.0,0,REGIAO SUL,12,ADMINISTRACAO DIRETA MUNICIPAL,E,M,True,True,2024-01-14T13:57:00
87031,FUNDO MUNICIPAL DE SAUDE ARARI,FMS/ARARI,97552407000163,,,,,,,7,FUNDOS,E,M,True,True,2024-08-03T13:57:00
87643,FUNDO MUNICIPAL DE SAUDE JAÍBA,FMS/JAÍBA,97552158000106,,,,,,,7,FUNDOS,E,M,True,True,2024-08-11T13:57:00
88252,FUNDO M. S. SANTA CRUZ DA CONCEIÇÃO,FMS,97552000000136,,,,,,,7,FUNDOS,E,M,True,True,2024-08-24T13:57:00
87455,FUNDO MUNICIPAL DE SAUDE TASSO FRAGOSO,FMS/TASSO FRAGOSO,97551531000104,,,,,,,7,FUNDOS,E,M,True,True,2024-08-10T13:57:00
95161,EMG - CONSORCIO INTER.ALIANÇA PARA A SAUDE,CIAS - MG,97550393000149,95120.0,18715615000160,EMG-ESTADO DE MINAS GERAIS,95000.0,0,REGIAO SUDESTE,5,EMPRESA PUBLICA COMERCIAL E FINANCEIRA,E,E,True,True,2023-09-03T11:44:00
87550,FUNDO MUNICIPAL DE SAUDE GOIABEIRA,FMS/GOIABEIRA,97550158000177,,,,,,,7,FUNDOS,E,M,True,True,2024-08-10T13:57:00
87424,FUNDO MUNICIPAL DE SAUDE BACURI,FMS/BACURI,97546561000122,,,,,,,7,FUNDOS,E,M,True,True,2024-08-10T13:57:00
87901,FUNDO MUNICIPAL DE SAUDE RIBEIRA DO PIAUÍ,FMS,97545970000104,,,,,,,7,FUNDOS,E,M,True,True,2024-08-17T13:57:00
88216,FUNDO MUNICIPAL DE SAUDE SALTO GRANDE,FMS/SALTO GRANDE,97536392000140,96065.0,46211686000160,PREFEITURA MUNICIPAL DE SALTO GRANDE - SP,95420.0,46379400000150,ESP-ESTADO DE SÃO PAULO,7,FUNDOS,E,M,True,True,2024-08-24T13:57:00
87576,FUNDO MUNICIPAL DE SAUDE MINAS NOVAS,FMS/MINAS NOVAS,97535949000128,,,,,,,7,FUNDOS,E,M,True,True,2024-08-10T13:57:00
88000,FUNDO MUNICIPAL DE SAUDE REDENTORA,FMS/REDENTORA,97531256000167,,,,,,,7,FUNDOS,E,M,True,True,2024-08-18T13:57:00
87025,FUNDO MUNICIPAL DE SAUDE ATALAIA DO NORTE,FMS,97531081000198,,,,,,,7,FUNDOS,E,M,True,True,2024-08-03T13:57:00
87508,FUNDO M. S. SÃO FÉLIX DO ARAGUAIA,FMS,97530840000106,,,,,,,7,FUNDOS,E,M,True,True,2024-08-10T13:57:00
88231,FUNDO MUNICIPAL DE SAUDE SARAPUÍ,FMS/SARAPUÍ,97530536000150,98642.0,46634341000110,PREFEITURA MUNICIPAL DE SARAPUI - SP,95420.0,46379400000150,ESP-ESTADO DE SÃO PAULO,7,FUNDOS,E,M,True,True,2024-08-24T13:57:00
87499,FUNDO MUNICIPAL DE SAUDE NOVA SANTA HELENA,FMS,97523172000181,,,,,,,7,FUNDOS,E,M,True,True,2024-08-10T13:57:00
88163,FUNDO MUNICIPAL DE SAUDE JOANÓPOLIS,FMS/JOANÓPOLIS,97522485000115,95881.0,45290418000119,PREFEITURA MUNICIPAL DE JOANOPOLIS - SP,95420.0,46379400000150,ESP-ESTADO DE SÃO PAULO,7,FUNDOS,E,M,True,True,2024-08-18T13:57:00
87922,FUNDO MUNICIPAL DE SAUDE GALINHOS,FMS/GALINHOS,97521878000104,,,,,,,7,FUNDOS,E,M,True,True,2024-08-17T13:57:00
88211,FUNDO MUNICIPAL DE SAUDE REGINÓPOLIS,FMS/REGINÓPOLIS,97520643000106,96037.0,44556033000198,PREFEITURA MUNICIPAL DE REGINOPOLIS - SP,95420.0,46379400000150,ESP-ESTADO DE SÃO PAULO,7,FUNDOS,E,M,True,True,2024-08-24T13:57:00
88205,FUNDO MUNICIPAL DE SAUDE POPULINA,FMS/POPULINA,97520318000135,,,,,,,7,FUNDOS,E,M,True,True,2024-08-24T13:57:00
87719,FUNDO MUNICIPAL DE SAUDE SERRA REDONDA,FMS/SERRA REDONDA,97519352000190,,,,,,,7,FUNDOS,E,M,True,True,2024-08-11T13:57:00
94851,FUND. DE APOIO A PESQ. E EXTENSÃO DE SERGIPE,FAPESE - SE,97500037000110,94820.0,13128798000101,ESE-ESTADO DE SERGIPE,94000.0,0,REGIAO NORDESTE,4,FUNDACAO,E,E,True,True,2024-05-16T13:57:00
85220,CÂMARA MUNICIPAL DE VERA CRUZ DO OESTE/PR,CMVCO/PR,97442677000111,96120.0,76416940000128,EPR-ESTADO DO PARANÁ,96000.0,0,REGIAO SUL,12,ADMINISTRACAO DIRETA MUNICIPAL,E,M,True,True,2024-04-23T15:57:00
96342,SECRETARIA DA ADM. E DOS RECURSOS HUMANOS,SEC.DIR.HUMANOS,97383210000148,96330.0,92963560000160,PREFEITURA MUNICIPAL DE PORTO ALEGRE - RS,96320.0,87934675000196,ERS-ESTADO DO RIO GRANDE DO SUL,12,ADMINISTRACAO DIRETA MUNICIPAL,E,M,True,True,2024-01-13T13:57:00
96801,PREFEITURA MUNICIPAL DE SAO SEPE - RS,PM DE SAO SEPE - RS,97229181000164,96320.0,87934675000196,ERS-ESTADO DO RIO GRANDE DO SUL,96000.0,0,REGIAO SUL,12,ADMINISTRACAO DIRETA MUNICIPAL,E,M,True,True,2024-01-14T13:57:00
96620,PREFEITURA MUNICIPAL DE FORMIGUEIRO - RS,PM FORMIGUEIRO - RS,97228126000150,96320.0,87934675000196,ERS-ESTADO DO RIO GRANDE DO SUL,96000.0,0,REGIAO SUL,12,ADMINISTRACAO DIRETA MUNICIPAL,E,M,True,True,2024-01-14T13:57:00
85313,SERVIÇO MUN.PREV.SOCIAL DE F.DA ROCHA/SP,SEPREV/SP,96493648000116,95420.0,46379400000150,ESP-ESTADO DE SÃO PAULO,95000.0,0,REGIAO SUDESTE,12,ADMINISTRACAO DIRETA MUNICIPAL,E,M,True,True,2024-05-15T08:37:00
86543,INSTITUTO DE PREV.DOS SER.MUN.SAO J.DOS CAMPO,IPSM/S.J.DOS CAMPOS,96490479000160,95420.0,46379400000150,ESP-ESTADO DE SÃO PAULO,95000.0,0,REGIAO SUDESTE,14,ADMINISTRACAO INDIRETA MUNICIPAL,E,M,True,True,2025-02-28T10:55:00
85625,INSTITUTO DE PREV.DO MUNICIPIO DE JACAREI/SP,IPM/JACAREI/SP,96484134000102,95420.0,46379400000150,ESP-ESTADO DE SÃO PAULO,95000.0,0,REGIAO SUDESTE,14,ADMINISTRACAO INDIRETA MUNICIPAL,E,M,True,True,2024-08-13T15:31:00
95603,ESP-SECRETARIA DE PARCERIAS EM INVESTIMENTOS,SEC. PAR. INVEST,96480850000103,95420.0,46379400000150,ESP-ESTADO DE SÃO PAULO,95000.0,0,REGIAO SUDESTE,11,ADMINISTRACAO DIRETA ESTADUAL,E,E,True,True,2023-04-19T14:30:00
95602,ESP-SECRETARIA ADMINISTRACAO PENITENCIARIA,SEC. ADMIN. PENIT.,96291141000180,95420.0,46379400000150,ESP-ESTADO DE SÃO PAULO,95000.0,0,REGIAO SUDESTE,11,ADMINISTRACAO DIRETA ESTADUAL,E,E,True,True,2023-04-19T14:29:00
