codigoUasg,nomeUasg,usoSisg,adesaoSiasg,siglaUf,codigoMunicipio,codigoMunicipioIbge,nomeMunicipioIbge,codigoUnidadePolo,nomeUnidadePolo,codigoUnidadeEspelho,nomeUnidadeEspelho,uasgCadastradora,cnpjCpfUasg,codigoOrgao,cnpjCpfOrgao,cnpjCpfOrgaoVinculado,cnpjCpfOrgaoSuperior,codigoSiorg,statusUasg,dataImplantacaoSidec,dataHoraMovimento
996612,CONSELHO REGIONAL DE CONTABILIDADE - PA,False,True,PA,4278,1501402.0,BELÉM,0,,0,,False,,38511,04977518000130,33618570000107,00489828000155,,True,2016-08-24T03:00:00.000+00:00,2023-03-24T15:26:00
990224,ESP-AG. DE BIBL. E COLEÇÕES DIGITAIS - USP,False,True,SP,71072,3550308.0,SÃO PAULO,990000,ESP-SECRETARIA DE GESTAO E GOVERNO DIGITAL,0,,False,,95596,63025530000104,46379400000150,0,,True,,2025-06-23T14:40:00
990223,ESP-CENTRAL DE COMPRAS - TECNOLÓGICAS,False,True,SP,62910,3509502.0,CAMPINAS,990000,ESP-SECRETARIA DE GESTAO E GOVERNO DIGITAL,0,,False,,95554,46068425000133,08678541000185,46379400000150,,True,,2024-03-02T14:46:00
990222,ESP-CENTRAL DE COMPRAS - HUMANIDADES E ARTES,False,True,SP,62910,3509502.0,CAMPINAS,990000,ESP-SECRETARIA DE GESTAO E GOVERNO DIGITAL,0,,False,,95554,46068425000133,08678541000185,46379400000150,,True,,2024-03-02T14:46:00
990221,ESP-CENTRAL DE COMPRAS - EXATAS,False,True,SP,62910,3509502.0,CAMPINAS,990000,ESP-SECRETARIA DE GESTAO E GOVERNO DIGITAL,0,,False,,95554,46068425000133,08678541000185,46379400000150,,True,,2024-03-02T14:46:00
990220,ESP-CENTRAL DE COMPRAS - BIOLÓGICAS,False,True,SP,62910,3509502.0,CAMPINAS,990000,ESP-SECRETARIA DE GESTAO E GOVERNO DIGITAL,0,,False,,95554,46068425000133,08678541000185,46379400000150,,True,,2024-03-02T14:46:00
990219,ESP-CENTRAL DE COMPRAS - REITORIA,False,True,SP,62910,3509502.0,CAMPINAS,990000,ESP-SECRETARIA DE GESTAO E GOVERNO DIGITAL,0,,False,,95554,46068425000133,08678541000185,46379400000150,,True,,2024-03-02T14:46:00
990218,ESP-CENTRAL DE COMPRAS - ÁREA DA SAÚDE,False,True,SP,62910,3509502.0,CAMPINAS,990000,ESP-SECRETARIA DE GESTAO E GOVERNO DIGITAL,0,,False,,95554,46068425000133,08678541000185,46379400000150,,True,,2024-03-02T14:46:00
990217,ESP-COORDENADORIA DE ENSINO TÉCNICO SUPERIOR,False,True,SP,71072,3550308.0,SÃO PAULO,990000,ESP-SECRETARIA DE GESTAO E GOVERNO DIGITAL,0,,False,,98501,08678541000185,46379400000150,0,,True,,2025-08-01T16:26:00
990216,"ESP-DIRETORIA DE CIÊNCIA,TECNOLOGIA INOVAÇÃO",False,True,SP,71072,3550308.0,SÃO PAULO,990000,ESP-SECRETARIA DE GESTAO E GOVERNO DIGITAL,0,,False,,98501,08678541000185,46379400000150,0,,True,,2025-08-01T16:24:00
990215,ESP-Departamento de Administração,False,True,SP,71072,3550308.0,SÃO PAULO,990000,ESP-SECRETARIA DE GESTAO E GOVERNO DIGITAL,0,,False,,98501,08678541000185,46379400000150,0,,True,,2024-03-16T14:46:00
990214,ESP-Unidade de Apoio aos Conselhos,False,True,SP,71072,3550308.0,SÃO PAULO,990000,ESP-SECRETARIA DE GESTAO E GOVERNO DIGITAL,0,,False,,98501,08678541000185,46379400000150,0,,True,,2024-03-16T14:46:00
990213,ESP-Gabinete do Secretário,False,True,SP,71072,3550308.0,SÃO PAULO,990000,ESP-SECRETARIA DE GESTAO E GOVERNO DIGITAL,0,,False,,98501,08678541000185,46379400000150,0,,True,,2024-03-16T14:46:00
990212,ESP-FED CPP DE FRANCO DA ROCHA,False,True,SP,64297,3516408.0,FRANCO DA ROCHA,990000,ESP-SECRETARIA DE GESTAO E GOVERNO DIGITAL,0,,False,,95602,96291141000180,46379400000150,0,,True,,2024-03-02T14:46:00
